	RyersonU	sageryerson	TetraRyerson	mathryerson	
busnewshub	0.001856567152681522	0.0	0.0	0.0	
bust	0.0055697014580445665	0.0	0.0	0.0	
bustamyth	0.001856567152681522	0.0	0.0	0.0	
bustling	0.001856567152681522	0.0	0.0	0.0	
buying	0.0055697014580445665	0.0	0.0	0.0	
bw	0.003713134305363044	0.0	0.0	0.0	
bymarch	0.0	0.0	0.0	0.010777172045613662	
cafe	0.0055697014580445665	0.0	0.0	0.0	
cafeeria	0.0	0.0	0.0	0.010777172045613662	
cafeteria	0.001856567152681522	0.0	0.0	0.0	
cake	0.001856567152681522	0.0	0.0	0.0	
caleb	0.001856567152681522	0.0	0.0	0.0	
caledon	0.001856567152681522	0.0	0.0	0.0	
calendar	0.009282835763407611	0.0	0.0	0.0	
calin	0.001856567152681522	0.0	0.0	0.0	
call	0.011139402916089133	0.0	0.0	0.0	
calling	0.007426268610726088	0.0	0.0	0.0	
camjamesmr	0.001856567152681522	0.0	0.0	0.0	
campaign	0.027848507290222833	0.0	0.0	0.0	
campaigns	0.007426268610726088	0.0	0.0	0.0	
campbell	0.0	0.0	0.0	0.010777172045613662	
campus	0.23764059554323483	0.0	0.0	0.0	
campuscbc	0.001856567152681522	0.0	0.0	0.0	
campuses	0.001856567152681522	0.0	0.0	0.0	
canada	0.02413537298485979	0.0	0.0	0.005388586022806831	
canadakillam	0.0	0.0	0.0	0.010777172045613662	
canadas	0.009282835763407611	0.0	0.0	0.005388586022806831	
canadausing	0.0	0.0	0.0	0.010777172045613662	
canadian	0.013924253645111417	0.0	0.0	0.010777172045613662	
canadianliving	0.009282835763407611	0.0	0.0	0.0	
